"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit",
"NR",3,"Retained","IN",32,"39991","40000",10,0.1652,0.1625,0.1647,"NA","NA",3239991,"NA","NA","IN",,
"NR",3,"Retained","IN",32,"42001","42010",10,0.1487,0.1661,0.1487,"NA","NA",3242001,"NA","NA","IN",,
"NR",3,"Retained","IN",32,"47991","48000",10,0.1619,0.1549,0.1713,"NA","NA",3247991,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"49701","49800",100,0.1637,0.1691,0.1664,"NA","NA",3249701,"NA","NA","IN",,
"NR",3,"Retained","IN",32,"51001","51010",10,0.1607,0.1588,0.1602,"NA","NA",3251001,"NA","NA","IN",,
"NR",3,"Retained","IN",32,"52001","52010",10,0.1639,0.1618,0.1609,"NA","NA",3252001,"NA","NA","IN",,
"NR",3,"Retained","IN",32,"61001","61010",10,0.1572,0.1577,0.1579,"NA","NA",3261001,"NA","NA","IN",,
"1",3,"Returned","AY, IN",32,"62062","62100",39,0.1578,0.1588,0.1592,"NA","NA",3262062,"NA","NA","IN",,
"NR",3,"Retained","IN",33,"43001","43010",10,0.1582,0.1611,0.162,"NA","NA",3343001,"86","IN","IN",,
"NR",3,"Retained","IN",33,"66001","66010",10,0.1592,0.1646,0.1636,"NA","NA",3366001,"87","IN","IN",,
"NR",3,"Retained","IN",33,"67001","67010",10,0.1621,0.1614,0.1646,"NA","NA",3367001,"87","IN","IN",,
"NR",3,"Retained","IN",33,"70001","70010",10,0.159,0.161,0.1625,"NA","NA",3370001,"87","IN","IN",,
"NR",3,"Retained","IN",33,"71001","71010",10,0.1657,0.1684,0.1652,"NA","NA",3371001,"NA","NA","IN",,
"NR",3,"Retained","IN",33,"81001","81010",10,0.1673,0.1644,0.1678,"NA","NA",3381001,"88","IN","IN",,
"2",3,"Returned","AM,ML",30,"54301","54388",88,0.1127,0.1135,0.1117,"NA","NA",3054301,"NA","NA","ML",,
"2",3,"Returned","AM,ML",30,"63501","63600",100,0.1139,0.112,0.1129,"NA","NA",3063501,"63","ML","ML",,
"2",3,"Returned","AM,ML",30,"64922","46990",69,0.1114,0.1127,0.1118,"NA","NA",3064922,"63","ML","ML",,
"2",3,"Returned","AM,ML",30,"67503","67600",98,0.1119,0.1123,0.1123,"NA","NA",3067503,"63","ML","ML",,
"2",3,"Returned","AM,ML",30,"71053","71100",48,0.1123,0.1119,0.1116,"NA","NA",3071053,"63","ML","ML",,
"2",3,"Returned","AM,ML",30,"73227","73300",74,0.1089,0.1091,0.1093,"NA","NA",3073227,"63","ML","ML",,
"2",3,"Returned","AM,ML",30,"88714","88800",87,0.1106,0.1097,0.1101,"NA","NA",3088714,"63","ML","ML",,
"2",3,"Returned","AM,ML",30,"96632","96700",69,0.1145,0.1143,0.1127,"NA","NA",3096632,"NA","ML","ML",,
"2",3,"Returned","AM,ML",30,"96810","96900",91,0.1142,0.1135,0.1142,"NA","NA",3096810,"NA","ML","ML",,
"12",4,"Returned","AM",40,"873","891",19,0.1254,0.1265,0.1268,"NA","NA",4000873,"NA","NA","AM",,
"12",4,"Returned","AM",40,"5895","5900",5,0.125,0.1251,0.125,"NA","NA",4005895,"NA","NA","AM",,
"12",4,"Returned","AM",40,"13912","13999",88,0.1305,0.1285,0.1294,"NA","NA",4013912,"NA","NA","AM",,
"12",4,"Returned","AY",40,"30204","30300",96,0.1267,0.1265,0.1262,"NA","NA",4030204,"NA","NA","AM",,
"12",4,"Returned","AM",40,"68624","68650",27,0.1354,0.135,0.1358,"NA","NA",4068624,"NA","NA","AM",,
"12",4,"Returned","AM",40,"74849","74849",1,0.1377,"NA","NA","NA","NA",4074849,"NA","NA","AM",,
"12",4,"Returned","AM",40,"78211","78218",8,0.1376,0.1378,0.1381,"NA","NA",4078211,"NA","NA","AM",,
"12",4,"Returned","AM",40,"79310","79350",41,0.1386,0.1386,0.1393,"NA","NA",4079310,"NA","NA","AM",,
"12",4,"Returned","AM",40,"81610","81650",41,0.1423,0.1427,0.1422,"NA","NA",4081610,"NA","NA","AM",,
"12",4,"Returned","AM",40,"85801","85900",100,0.1421,0.1418,0.1409,"NA","NA",4085801,"NA","NA","AM",,
"12",4,"Returned","AM",40,"89066","89100",35,0.143,0.1435,0.143,"NA","NA",4089066,"NA","NA","AM",,
"12",4,"Returned","AY",40,"75562","75590",29,0.1373,0.1373,0.1375,"NA","NA",4075562,"NA","NA","AY",,
"12",4,"Returned","AY",41,"16801","16950",150,0.1852,0.1793,0.1787,"NA","NA",4116801,"NA","NA","AY",,
"12",4,"Returned","AY",41,"19035","19050",16,0.0854,0.0855,0.0848,"NA","NA",4119035,"NA","NA","AY",0.0848037037,
"12",4,"Returned","AY",41,"20471","20500",30,0.085,0.0844,0.0847,"NA","NA",4120471,"NA","NA","AY",,
"12",4,"Returned","AY",41,"20512","20550",39,0.0847,0.0858,0.0856,"NA","NA",4120512,"NA","NA","AY",,
"12",4,"Returned","AY",41,"27815","27847",31,0.0849,0.0842,0.0855,"NA","NA",4127815,"NA","NA","AY",,
"12",4,"Returned","AY",41,"30551","30600",50,0.0855,0.0848,0.0841,"NA","NA",4130551,"NA","NA","AY",,
"12",4,"Returned","AY",41,"50512","50600",89,0.0866,0.088,0.0879,"NA","NA",4150512,"87","AY","AY",,
"12",4,"Returned","AY",41,"53001","53050",50,0.086,0.0865,0.0867,"NA","NA",4153001,"87","AY","AY",,
"12",4,"Returned","AY",41,"72251","72350",100,0.0824,0.0814,0.0823,"NA","NA",4172251,"90","AY","AY",,
"12",4,"Returned","AY",41,"80764","80850",87,0.0828,0.0819,0.0823,"NA","NA",4180764,"90","AY","AY",,
"12",4,"Returned","IN",40,"92220","92250",31,0.1686,0.1883,0.1878,"NA","NA",4092220,"NA","NA","IN",,
"12",4,"Returned","IN",40,"94611","94700",90,0.1627,0.1752,0.1761,"NA","NA",4094611,"NA","NA","IN",,
"12",4,"Returned","IN",40,"99925","99999",75,0.1798,0.1785,0.1785,"NA","NA",4099925,"NA","NA","IN",,
"12",4,"Returned","IN",41,"2082","2085",4,0.1806,0.1807,0.1788,"NA","NA",4102082,"NA","NA","IN",,
"12",4,"Returned","IN",41,"2087","2099",13,0.1847,0.1834,0.1846,"NA","NA",4102087,"NA","NA","IN",,
"12",4,"Returned","IN",41,"5712","5749",38,0.1835,0.1857,0.1806,"NA","NA",4105712,"NA","NA","IN",,
"12",4,"Returned","IN",41,"6961","7200",280,0.1801,0.1824,0.1818,"NA","NA",4106961,"NA","NA","IN",,
"12",4,"Returned","IN",41,"10806","10900",95,0.1806,0.1855,0.1832,"NA","NA",4110806,"NA","NA","IN",,
"12",4,"Returned","IN",41,"13066","13100",34,0.1788,0.1853,0.182,"NA","NA",4113066,"NA","NA","IN",,
"12",4,"Returned","IN",41,"17674","17700",27,0.1742,0.1674,0.1713,"NA","NA",4117674,"NA","NA","IN",,
"12",4,"Returned","ML",40,"41671","41700",30,0.1281,0.1276,0.128,"NA","NA",4041671,"63","ML","ML",0.1252933333,
