"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum"
"8",6,"Returned","AM","061","06916","07000",85,0.2333,0.2337,0.2327,"NA","NA","06106916"
"8",6,"Returned","AM","061","29502","29520",19,0.2337,0.2338,0.2336,"NA","NA","06129502"
"8",6,"Returned","AM","061","33643","33700",58,0.6371,0.6345,0.6382,"NA","NA","06133643"
"8",6,"Returned","AM","061","26433","26499",66,0.2359,0.2364,0.2363,"NA","NA","06126433"
"8",6,"Returned","AM","061","15127","15199",72,0.2363,0.2356,0.2363,"NA","NA","06115127"
"11",7,"Returned","ML,AM,IN,AY,SS","071","68701","68800",100,0.2367,0.239,0.2366,"NA","NA","07168701"
"11",7,"Returned","ML,AM,IN,AY,SS","071","32125","32125",1,0.2678,"NA","NA","NA","NA","07132125"
"11",7,"Returned","ML,AM,IN,AY,SS","071","50241","50260",20,0.7284,0.7173,0.7198,"NA","NA","07150241"
"11",7,"Returned","ML,AM,IN,AY,SS","071","60541","60545",5,0.1938,0.1939,0.194,"NA","NA","07160541"
"11",7,"Returned","ML,AM,IN,AY,SS","071","78678","78690",13,0.2447,0.2414,0.2409,"NA","NA","07178678"
"11",7,"Returned","ML,AM,IN,AY,SS","071","51511","51600",90,0.7148,0.7131,0.7133,"NA","NA","07151511"
"11",7,"Returned","ML,AM,IN,AY,SS","071","74318","74400",83,0.2411,0.2396,0.2435,"NA","NA","07174318"
"11",7,"Returned","ML,AM,IN,AY,SS","071","51983","52000",28,0.7114,0.7188,0.7093,"NA","NA","07151983"
"11",7,"Returned","ML,AM,IN,AY,SS","071","10214","10250",37,0.2699,0.2678,0.2699,"NA","NA","07110214"
"11",7,"Returned","ML,AM,IN,AY,SS","071","43443","43460",17,0.2658,0.2654,0.2665,"NA","NA","07143443"
"11",7,"Returned","ML,AM,IN,AY,SS","072","17601","17700",100,0.2547,0.2559,0.2571,"NA","NA","07217601"
"11",7,"Returned","ML,AM,IN,AY,SS","072","47601","47700",100,0.2585,0.2567,0.2566,"NA","NA","07247601"
"11",7,"Returned","ML,AM,IN,AY,SS","072","16503","16600",98,0.2565,0.2545,0.2571,"NA","NA","07216503"
"11",7,"Returned","ML,AM,IN,AY,SS","070","69602","69700",99,0.4122,0.4124,0.4123,"NA","NA","07069602"
"11",7,"Returned","ML,AM,IN,AY,SS","070","62305","62400",93,0.4144,0.4141,0.4145,"NA","NA","07062305"
"11",7,"Returned","ML,AM,IN,AY,SS","070","69813","69900",88,0.4082,0.4076,0.4084,"NA","NA","07069813"
"11",7,"Returned","ML,AM,IN,AY,SS","070","88151","88190",40,0.4094,0.4094,0.4078,"NA","NA","07088151"
"11",7,"Returned","ML,AM,IN,AY,SS","070","69951","69990",50,0.4094,0.4087,0.4089,"NA","NA","07069951"
"11",7,"Returned","ML,AM,IN,AY,SS","070","92517","92594",78,0.3944,0.3975,0.3953,"NA","NA","07092517"
"11",7,"Returned","ML,AM,IN,AY,SS","070","88521","88600",80,0.4024,0.4029,0.4031,"NA","NA","07088521"
"11",7,"Returned","ML,AM,IN,AY,SS","070","07162","07200",38,0.2807,0.2812,0.2816,"NA","NA","07007162"
"11",7,"Returned","ML,AM,IN,AY,SS","070","16810","16899",90,0.2736,0.2668,0.2722,"NA","NA","07016810"
"11",7,"Returned","ML,AM,IN,AY,SS","070","57308","57327",18,0.2781,0.2769,0.2763,"NA","NA","07057308"
"10",8,"Returned","ML,AM,AY,SS","080","43636","43638",3,0.3063,0.3057,0.3055,"NA","NA","08043636"
"10",8,"Returned","ML,AM,AY,SS","080","02785","02785",1,0.3215,"NA","NA","NA","NA","08002785"
"10",8,"Returned","ML,AM,AY,SS","080","43820","43820",1,0.3055,"NA","NA","NA","NA","08043820"
"10",8,"Returned","ML,AM,AY,SS","080","14726","14733",7,0.5929,0.5927,0.5916,"NA","NA","08014726"
"10",8,"Returned","ML,AM,AY,SS","080","02730","02778",31,0.3183,0.3184,0.3193,"NA","NA","08002730"
"10",8,"Returned","ML,AM,AY,SS","080","36603","36700",87,0.3081,0.3071,0.3068,"NA","NA","08036603"
"10",8,"Returned","ML,AM,AY,SS","080","62125","62200",76,0.3106,0.3116,0.3089,"NA","NA","08062125"
"10",8,"Returned","ML,AM,AY,SS","080","44904","44928",18,0.3099,0.3085,0.3091,"NA","NA","08044904"
"10",8,"Returned","ML,AM,AY,SS","080","44929","44949",21,0.3071,0.309,0.3095,"NA","NA","08044929"
"10",8,"Returned","ML,AM,AY,SS","080","84521","84537",17,0.3011,0.3002,0.2988,"NA","NA","08084521"
"10",8,"Returned","ML,AM,AY,SS","081","09333","09359",27,0.4805,0.4801,0.4795,"NA","NA","08109333"
